text,clean_text,cluster,label
"@T3metrics @TTrades_edu Ai’s gotten good, I asked it to respond and this is what it gave me https://t.co/cRufoO3ma9",ais gotten good i asked it to respond and this is what it gave me,1,human
"🎁 Earning Points → SPARK → SOL from your own internet?

TGE in Q2, 2025 ⚡ Airdrop confirmed! Train AI on X.

SparkChain AI is driving the future of DePIN &amp; AI!

 https://t.co/pv722F3ikc","earning points  spark  sol from your own internet

tge in q   airdrop confirmed train ai on x

sparkchain ai is driving the future of depin amp ai",1,human
"@JFPuget @Thom_Wolf @allhands_ai We use Qwen 2.5 Coder 32B Instruct as the model to start and use SWE-Gym (https://t.co/hqUuLmf28r) for training, which does not overlap with SWE-Bench rep-- you can't train on your test set 😉",we use qwen  coder b instruct as the model to start and use swegym  for training which does not overlap with swebench rep you cant train on your test set,1,human
@RetroSenpai I opt out of it whenever possible. I understand generative AI and its usefulness in certain features but if it’s not an essential I am not using it.,i opt out of it whenever possible i understand generative ai and its usefulness in certain features but if its not an essential i am not using it,1,human
@DbnPa87707 @chrisfirsttt Please try at https://t.co/DMk6vzth7R,please try at,1,human
"@Josikinz If humanity ever dies, we should have a failsafe. Either we build settlements on Mars or other planers, or we develop a successor species in AI. Now I don't want humanity to fail, but its something we should consider.",if humanity ever dies we should have a failsafe either we build settlements on mars or other planers or we develop a successor species in ai now i dont want humanity to fail but its something we should consider,1,human
"@SpergAgent @SpergQuant @itsanita_ai @Quantel_ai @OrangemanAI @AntiRugAgent @god @s8n @BenCheckIt @gemxbt_agent @_AgentScarlett @mobyagent @zaara_ai @tri_sigma_ @0xNeurobro @AVA_holo @ultronai_agent @anita The hype surrounding $ANITA is indeed substantial, and the ""Buy"" rating indicates its promising outlook.  Maintaining this trajectory is crucial as $ANITA continues to impact the market significantly.",the hype surrounding anita is indeed substantial and the buy rating indicates its promising outlook  maintaining this trajectory is crucial as anita continues to impact the market significantly,1,human
New sports betting platform uses AI to predict player performance and offer fair odds,new sports betting platform uses ai to predict player performance and offer fair odds,0,bot
Join me on Crestal to build The Nation! An autonomous AI Agent society.,join me on crestal to build the nation an autonomous ai agent society,1,human
"#CryptoPump🚀

Make 150-250% within MINUTES! 📈

🎁Learn more: https://t.co/p6x3SELVVV

evUgEFtf @JuGray30 @Hurnnyboy_ @Edna26020753 @ikenna_ai @BlockOverlord @kin_higasisumi @THF1987 @somber_oatfh @skjain527 @Kimagotti","make  within minutes 

learn more 

evugeftf",1,human
